,All Crime,larceny,simple assault,criminal mischief,controlled substances,burglary,aggravated assault,all other offenses (except traffic),dangerous weapons,disorderly conduct,mv theft,robbery
Section1,-0.14157,-0.13847,0.100487,-0.06366,-0.12794,0.03925,0.012987,-0.5165,-0.34037,0.02991,-0.52017,-0.2976
9 Cameras S1,-0.30844,-0.14458,-0.36111,-0.24528,0.025,-0.17073,-0.58621,-0.40323,-0.25,-0.35294,-0.69565,-0.6
Section3,-0.1052,-0.05516,0.169746,-0.06962,-0.12313,0.247227,-0.04251,-0.48387,-0.41399,0.004566,-0.55111,-0.33976
12 Cameras S3,-0.10158,0.09434,0.139344,-0.04225,-0.13333,0.205882,-0.38462,-0.34483,-0.5,-0.2381,-0.45,-0.36667
Section5,-0.13904,-0.07402,0.206359,-0.08977,-0.22857,0.191805,-0.10837,-0.54693,-0.315,-0.24077,-0.64416,-0.21429
12 Cameras S5,-0.12266,0.401361,0.095652,-0.17391,-0.35652,0.228571,-0.51351,-0.07143,-0.33333,-0.28049,-0.66667,-0.68421
Section7,-0.13998,0.043791,0.033642,-0.1009,-0.18952,-0.01762,-0.03294,-0.4591,-0.31796,-0.11332,-0.61054,-0.2699
33 Cameras S7,-0.26682,0.131868,-0.12971,-0.17333,-0.41935,-0.27711,0.02439,-0.16667,-0.39474,-0.5,-0.57143,-0.60345
Section9,-0.16638,-0.10232,0.033236,-0.19942,-0.0048,-0.2679,-0.06122,-0.49098,-0.23077,0.35443,-0.62776,-0.38147
16 Cameras S9,-0.01553,-0.19694,0.417476,-0.26263,0.2,-0.5641,0.266667,-0.12121,0,1.315315,-0.75,-0.45238
CityWide,-0.13723,-0.06544,0.104105,-0.0949,-0.15562,0.065697,-0.03608,-0.49933,-0.33914,0.016888,-0.58982,-0.28952
ALLCameras (82),-0.15731,-0.02113,0.055696,-0.18065,-0.24905,-0.15948,-0.18894,-0.19617,-0.36145,0.052752,-0.62827,-0.57037
