type,date,Controlled Substances,Simple Assault,Criminal Mischief,All Other Offenses,Larceny
val1,1/1/05,23,,,,
val1,1/1/06,31,,,,
val1,1/1/07,30,,,,
val1,1/1/08,24,,,,
val1,1/1/09,10,,,,
val1,1/1/10,20,,,,
val1,1/1/11,17,,,,
val1,1/1/12,13,,,,
val1,1/1/13,10,,,,
val1,1/1/14,6,,,,
val1,1/1/15,4,,,,
val1,1/1/16,7,,,,
val2,1/1/05,23,18,,,
val2,1/1/06,31,21,,,
val2,1/1/07,30,20,,,
val2,1/1/08,24,17,,,
val2,1/1/09,10,14,,,
val2,1/1/10,20,14,,,
val2,1/1/11,17,17,,,
val2,1/1/12,13,7,,,
val2,1/1/13,10,2,,,
val2,1/1/14,6,8,,,
val2,1/1/15,4,9,,,
val2,1/1/16,7,5,,,
val3,1/1/05,23,18,12,,
val3,1/1/06,31,21,8,,
val3,1/1/07,30,20,10,,
val3,1/1/08,24,17,13,,
val3,1/1/09,10,14,10,,
val3,1/1/10,20,14,7,,
val3,1/1/11,17,17,9,,
val3,1/1/12,13,7,7,,
val3,1/1/13,10,2,5,,
val3,1/1/14,6,8,6,,
val3,1/1/15,4,9,7,,
val3,1/1/16,7,5,15,,
val4,1/1/05,23,18,12,7,
val4,1/1/06,31,21,8,9,
val4,1/1/07,30,20,10,12,
val4,1/1/08,24,17,13,5,
val4,1/1/09,10,14,10,10,
val4,1/1/10,20,14,7,3,
val4,1/1/11,17,17,9,1,
val4,1/1/12,13,7,7,3,
val4,1/1/13,10,2,5,5,
val4,1/1/14,6,8,6,3,
val4,1/1/15,4,9,7,5,
val4,1/1/16,7,5,15,3,
val5,1/1/05,23,18,12,7,8
val5,1/1/06,31,21,8,9,14
val5,1/1/07,30,20,10,12,9
val5,1/1/08,24,17,13,5,5
val5,1/1/09,10,14,10,10,5
val5,1/1/10,20,14,7,3,10
val5,1/1/11,17,17,9,1,6
val5,1/1/12,13,7,7,3,11
val5,1/1/13,10,2,5,5,8
val5,1/1/14,6,8,6,3,8
val5,1/1/15,4,9,7,5,3
val5,1/1/16,7,5,15,3,9
